name_key,display_name,total_matches,province_count,level_count,levels,provinces
centro del pueblo,Centro del Pueblo,202,29,2,"barrio_paraje, sub_barrio","02, 03, 04, 05, 06, 07, 08, 09, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 27, 28, 29, 30, 31"
pueblo nuevo,Pueblo Nuevo,90,24,3,"barrio_paraje, section, sub_barrio","02, 04, 05, 06, 07, 08, 10, 11, 12, 13, 14, 15, 17, 18, 20, 21, 22, 23, 24, 25, 27, 29, 31, 32"
las flores,Las Flores,86,24,2,"barrio_paraje, sub_barrio","01, 02, 03, 04, 05, 06, 09, 11, 13, 14, 15, 16, 17, 18, 19, 21, 23, 24, 26, 27, 28, 29, 31, 32"
nuevo,Nuevo,67,20,2,"barrio_paraje, sub_barrio","02, 03, 04, 07, 10, 11, 13, 14, 15, 16, 17, 18, 21, 22, 23, 25, 26, 27, 30, 32"
buenos aires,Buenos Aires,51,20,2,"barrio_paraje, sub_barrio","02, 06, 08, 10, 11, 12, 13, 14, 15, 18, 21, 22, 23, 24, 25, 27, 28, 29, 30, 32"
la sabana,la Sabana,51,16,3,"barrio_paraje, section, sub_barrio","02, 05, 06, 09, 13, 18, 19, 21, 22, 24, 25, 26, 27, 28, 29, 31"
el play,El Play,38,14,2,"barrio_paraje, sub_barrio","04, 06, 07, 09, 10, 18, 19, 20, 21, 22, 25, 27, 29, 32"
la ceiba,La Ceiba,37,20,3,"barrio_paraje, section, sub_barrio","01, 02, 05, 06, 07, 09, 11, 13, 14, 18, 19, 20, 21, 22, 23, 24, 25, 26, 28, 32"
san jose,San José,36,18,3,"barrio_paraje, section, sub_barrio","01, 06, 09, 10, 11, 17, 19, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 32"
bella vista,Bella Vista,36,15,3,"barrio_paraje, section, sub_barrio","01, 04, 11, 14, 15, 16, 18, 20, 21, 22, 25, 28, 29, 30, 32"
los cocos,Los Cocos,35,17,2,"barrio_paraje, sub_barrio","02, 03, 04, 06, 09, 11, 12, 18, 19, 23, 24, 25, 27, 28, 29, 30, 32"
la mina,La Mina,33,19,2,"barrio_paraje, sub_barrio","02, 03, 05, 06, 07, 08, 09, 11, 13, 14, 15, 16, 22, 23, 25, 27, 28, 29, 32"
el aguacate,El Aguacate,33,18,3,"barrio_paraje, section, sub_barrio","01, 03, 04, 05, 06, 07, 10, 11, 13, 17, 18, 20, 22, 24, 25, 26, 29, 31"
las mercedes,Las Mercedes,33,15,3,"barrio_paraje, section, sub_barrio","02, 06, 10, 16, 17, 18, 19, 21, 23, 24, 25, 28, 29, 31, 32"
la altagracia,La Altagracia,33,13,4,"barrio_paraje, province, section, sub_barrio","02, 04, 06, 11, 13, 16, 17, 18, 24, 25, 27, 29, 32"
la jagua,La Jagua,31,17,3,"barrio_paraje, section, sub_barrio","05, 06, 07, 09, 13, 14, 18, 20, 21, 22, 23, 24, 25, 26, 29, 30, 32"
el limon,El Limón,31,14,3,"barrio_paraje, section, sub_barrio","02, 04, 06, 09, 11, 13, 18, 19, 21, 24, 25, 26, 31, 32"
puerto rico,Puerto Rico,31,14,2,"barrio_paraje, sub_barrio","01, 05, 06, 11, 13, 15, 18, 21, 23, 25, 27, 28, 30, 32"
la cienaga,La Ciénaga,30,15,5,"barrio_paraje, district_municipal, municipality, section, sub_barrio","01, 02, 04, 05, 06, 09, 13, 14, 17, 18, 22, 25, 28, 31, 32"
las canitas,Las Cañitas,30,13,3,"barrio_paraje, section, sub_barrio","01, 02, 03, 07, 13, 17, 18, 21, 22, 27, 29, 30, 32"
