region_code,province_code,municipality_code,district_municipal_code,section_code,barrio_paraje_code,sub_barrio_code,level,name,official_name,normalized_name,parent_composite_code,composite_code,full_path,is_official,source,valid_from,valid_to,notes
10,01,00,00,00,000,00,province,Distrito Nacional,Distrito Nacional,distrito nacional,,10-01-00-00-00-000-00,Distrito Nacional,True,ONE,,,
10,01,01,00,00,000,00,municipality,Santo Domingo de Guzmán,Santo Domingo de Guzmán,santo domingo de guzman,10-01-00-00-00-000-00,10-01-01-00-00-000-00,Distrito Nacional > Santo Domingo de Guzmán,True,ONE,,,
10,01,01,01,00,000,00,district_municipal,Santo Domingo de Guzmán,Santo Domingo de Guzmán,santo domingo de guzman,10-01-01-00-00-000-00,10-01-01-01-00-000-00,Distrito Nacional > Santo Domingo de Guzmán > Santo Domingo de Guzmán,True,ONE,,,
10,01,01,01,01,000,00,section,Santo Domingo de Guzmán (Zona urbana),Santo Domingo de Guzmán (Zona urbana),santo domingo de guzman zona urbana,10-01-01-01-00-000-00,10-01-01-01-01-000-00,Distrito Nacional > Santo Domingo de Guzmán > Santo Domingo de Guzmán > Santo Domingo de Guzmán (Zona urbana),True,ONE,,,
10,01,01,01,01,001,00,barrio_paraje,Los Peralejos,Los Peralejos,los peralejos,10-01-01-01-01-000-00,10-01-01-01-01-001-00,Distrito Nacional > Santo Domingo de Guzmán > Santo Domingo de Guzmán > Santo Domingo de Guzmán (Zona urbana) > Los Peralejos,True,ONE,,,
10,01,01,01,01,001,01,sub_barrio,Los Peralejos,Los Peralejos,los peralejos,10-01-01-01-01-001-00,10-01-01-01-01-001-01,Distrito Nacional > Santo Domingo de Guzmán > Santo Domingo de Guzmán > Santo Domingo de Guzmán (Zona urbana) > Los Peralejos > Los Peralejos,True,ONE,,,
10,01,01,01,01,001,02,sub_barrio,Los Ángeles,Los Ángeles,los angeles,10-01-01-01-01-001-00,10-01-01-01-01-001-02,Distrito Nacional > Santo Domingo de Guzmán > Santo Domingo de Guzmán > Santo Domingo de Guzmán (Zona urbana) > Los Peralejos > Los Ángeles,True,ONE,,,
10,01,01,01,01,001,03,sub_barrio,Brisas del Norte,Brisas del Norte,brisas del norte,10-01-01-01-01-001-00,10-01-01-01-01-001-03,Distrito Nacional > Santo Domingo de Guzmán > Santo Domingo de Guzmán > Santo Domingo de Guzmán (Zona urbana) > Los Peralejos > Brisas del Norte,True,ONE,,,
10,01,01,01,01,002,00,barrio_paraje,Palma Real,Palma Real,palma real,10-01-01-01-01-000-00,10-01-01-01-01-002-00,Distrito Nacional > Santo Domingo de Guzmán > Santo Domingo de Guzmán > Santo Domingo de Guzmán (Zona urbana) > Palma Real,True,ONE,,,
10,01,01,01,01,002,01,sub_barrio,Palma Real,Palma Real,palma real,10-01-01-01-01-002-00,10-01-01-01-01-002-01,Distrito Nacional > Santo Domingo de Guzmán > Santo Domingo de Guzmán > Santo Domingo de Guzmán (Zona urbana) > Palma Real > Palma Real,True,ONE,,,
10,01,01,01,01,002,02,sub_barrio,Los Girasoles I,Los Girasoles I,los girasoles i,10-01-01-01-01-002-00,10-01-01-01-01-002-02,Distrito Nacional > Santo Domingo de Guzmán > Santo Domingo de Guzmán > Santo Domingo de Guzmán (Zona urbana) > Palma Real > Los Girasoles I,True,ONE,,,
10,01,01,01,01,002,03,sub_barrio,Los Girasoles II,Los Girasoles II,los girasoles ii,10-01-01-01-01-002-00,10-01-01-01-01-002-03,Distrito Nacional > Santo Domingo de Guzmán > Santo Domingo de Guzmán > Santo Domingo de Guzmán (Zona urbana) > Palma Real > Los Girasoles II,True,ONE,,,
10,01,01,01,01,002,04,sub_barrio,Los Girasoles III,Los Girasoles III,los girasoles iii,10-01-01-01-01-002-00,10-01-01-01-01-002-04,Distrito Nacional > Santo Domingo de Guzmán > Santo Domingo de Guzmán > Santo Domingo de Guzmán (Zona urbana) > Palma Real > Los Girasoles III,True,ONE,,,
10,01,01,01,01,002,05,sub_barrio,Colinas de Arroyo Hondo,Colinas de Arroyo Hondo,colinas de arroyo hondo,10-01-01-01-01-002-00,10-01-01-01-01-002-05,Distrito Nacional > Santo Domingo de Guzmán > Santo Domingo de Guzmán > Santo Domingo de Guzmán (Zona urbana) > Palma Real > Colinas de Arroyo Hondo,True,ONE,,,
10,01,01,01,01,002,06,sub_barrio,Don Panchito,Don Panchito,don panchito,10-01-01-01-01-002-00,10-01-01-01-01-002-06,Distrito Nacional > Santo Domingo de Guzmán > Santo Domingo de Guzmán > Santo Domingo de Guzmán (Zona urbana) > Palma Real > Don Panchito,True,ONE,,,
10,01,01,01,01,002,07,sub_barrio,Villa María,Villa María,villa maria,10-01-01-01-01-002-00,10-01-01-01-01-002-07,Distrito Nacional > Santo Domingo de Guzmán > Santo Domingo de Guzmán > Santo Domingo de Guzmán (Zona urbana) > Palma Real > Villa María,True,ONE,,,
10,01,01,01,01,002,08,sub_barrio,Fundación,Fundación,fundacion,10-01-01-01-01-002-00,10-01-01-01-01-002-08,Distrito Nacional > Santo Domingo de Guzmán > Santo Domingo de Guzmán > Santo Domingo de Guzmán (Zona urbana) > Palma Real > Fundación,True,ONE,,,
10,01,01,01,01,003,00,barrio_paraje,Arroyo Manzano,Arroyo Manzano,arroyo manzano,10-01-01-01-01-000-00,10-01-01-01-01-003-00,Distrito Nacional > Santo Domingo de Guzmán > Santo Domingo de Guzmán > Santo Domingo de Guzmán (Zona urbana) > Arroyo Manzano,True,ONE,,,
10,01,01,01,01,003,01,sub_barrio,Arroyo Manzano,Arroyo Manzano,arroyo manzano,10-01-01-01-01-003-00,10-01-01-01-01-003-01,Distrito Nacional > Santo Domingo de Guzmán > Santo Domingo de Guzmán > Santo Domingo de Guzmán (Zona urbana) > Arroyo Manzano > Arroyo Manzano,True,ONE,,,
10,01,01,01,01,003,02,sub_barrio,La Meseta,La Meseta,la meseta,10-01-01-01-01-003-00,10-01-01-01-01-003-02,Distrito Nacional > Santo Domingo de Guzmán > Santo Domingo de Guzmán > Santo Domingo de Guzmán (Zona urbana) > Arroyo Manzano > La Meseta,True,ONE,,,
10,01,01,01,01,003,03,sub_barrio,Villa Progreso,Villa Progreso,villa progreso,10-01-01-01-01-003-00,10-01-01-01-01-003-03,Distrito Nacional > Santo Domingo de Guzmán > Santo Domingo de Guzmán > Santo Domingo de Guzmán (Zona urbana) > Arroyo Manzano > Villa Progreso,True,ONE,,,
10,01,01,01,01,003,04,sub_barrio,Cuesta Brava,Cuesta Brava,cuesta brava,10-01-01-01-01-003-00,10-01-01-01-01-003-04,Distrito Nacional > Santo Domingo de Guzmán > Santo Domingo de Guzmán > Santo Domingo de Guzmán (Zona urbana) > Arroyo Manzano > Cuesta Brava,True,ONE,,,
10,01,01,01,01,003,05,sub_barrio,Urbanización Arroyo Manzano,Urbanización Arroyo Manzano,urbanizacion arroyo manzano,10-01-01-01-01-003-00,10-01-01-01-01-003-05,Distrito Nacional > Santo Domingo de Guzmán > Santo Domingo de Guzmán > Santo Domingo de Guzmán (Zona urbana) > Arroyo Manzano > Urbanización Arroyo Manzano,True,ONE,,,
10,01,01,01,01,003,06,sub_barrio,Buena Vista,Buena Vista,buena vista,10-01-01-01-01-003-00,10-01-01-01-01-003-06,Distrito Nacional > Santo Domingo de Guzmán > Santo Domingo de Guzmán > Santo Domingo de Guzmán (Zona urbana) > Arroyo Manzano > Buena Vista,True,ONE,,,
10,01,01,01,01,003,07,sub_barrio,Puerta de Hierro,Puerta de Hierro,puerta de hierro,10-01-01-01-01-003-00,10-01-01-01-01-003-07,Distrito Nacional > Santo Domingo de Guzmán > Santo Domingo de Guzmán > Santo Domingo de Guzmán (Zona urbana) > Arroyo Manzano > Puerta de Hierro,True,ONE,,,
10,01,01,01,01,003,08,sub_barrio,Madre Vieja,Madre Vieja,madre vieja,10-01-01-01-01-003-00,10-01-01-01-01-003-08,Distrito Nacional > Santo Domingo de Guzmán > Santo Domingo de Guzmán > Santo Domingo de Guzmán (Zona urbana) > Arroyo Manzano > Madre Vieja,True,ONE,,,
10,01,01,01,01,003,09,sub_barrio,Residencial Colina Bella,Residencial Colina Bella,residencial colina bella,10-01-01-01-01-003-00,10-01-01-01-01-003-09,Distrito Nacional > Santo Domingo de Guzmán > Santo Domingo de Guzmán > Santo Domingo de Guzmán (Zona urbana) > Arroyo Manzano > Residencial Colina Bella,True,ONE,,,
10,01,01,01,01,003,10,sub_barrio,Residencial Irene,Residencial Irene,residencial irene,10-01-01-01-01-003-00,10-01-01-01-01-003-10,Distrito Nacional > Santo Domingo de Guzmán > Santo Domingo de Guzmán > Santo Domingo de Guzmán (Zona urbana) > Arroyo Manzano > Residencial Irene,True,ONE,,,
10,01,01,01,01,003,11,sub_barrio,Residencial San Francisco de Asís,Residencial San Francisco de Asís,residencial san francisco de asis,10-01-01-01-01-003-00,10-01-01-01-01-003-11,Distrito Nacional > Santo Domingo de Guzmán > Santo Domingo de Guzmán > Santo Domingo de Guzmán (Zona urbana) > Arroyo Manzano > Residencial San Francisco de Asís,True,ONE,,,
10,01,01,01,01,004,00,barrio_paraje,Altos de Arroyo Hondo,Altos de Arroyo Hondo,altos de arroyo hondo,10-01-01-01-01-000-00,10-01-01-01-01-004-00,Distrito Nacional > Santo Domingo de Guzmán > Santo Domingo de Guzmán > Santo Domingo de Guzmán (Zona urbana) > Altos de Arroyo Hondo,True,ONE,,,
10,01,01,01,01,004,01,sub_barrio,Altos de Arroyo Hondo,Altos de Arroyo Hondo,altos de arroyo hondo,10-01-01-01-01-004-00,10-01-01-01-01-004-01,Distrito Nacional > Santo Domingo de Guzmán > Santo Domingo de Guzmán > Santo Domingo de Guzmán (Zona urbana) > Altos de Arroyo Hondo > Altos de Arroyo Hondo,True,ONE,,,
