name_key,display_name,total_matches,province_count,level_count,levels,provinces
centro del pueblo,Centro del Pueblo,79,9,2,"barrio_paraje, sub_barrio","02, 03, 04, 05, 06, 07, 08, 09, 10"
nuevo,Nuevo,28,5,2,"barrio_paraje, sub_barrio","02, 03, 04, 07, 10"
las flores,Las Flores,24,7,2,"barrio_paraje, sub_barrio","01, 02, 03, 04, 05, 06, 09"
pueblo nuevo,Pueblo Nuevo,19,7,2,"barrio_paraje, sub_barrio","02, 04, 05, 06, 07, 08, 10"
las canitas,Las Cañitas,15,4,3,"barrio_paraje, section, sub_barrio","01, 02, 03, 07"
el aguacate,El Aguacate,14,7,3,"barrio_paraje, section, sub_barrio","01, 03, 04, 05, 06, 07, 10"
el play,El Play,14,5,2,"barrio_paraje, sub_barrio","04, 06, 07, 09, 10"
buenos aires,Buenos Aires,14,4,2,"barrio_paraje, sub_barrio","02, 06, 08, 10"
el pino,El Pino,13,5,5,"barrio_paraje, district_municipal, municipality, section, sub_barrio","01, 03, 04, 05, 07"
villa progreso,Villa Progreso,11,6,2,"barrio_paraje, sub_barrio","01, 03, 04, 07, 09, 10"
el abanico,El Abanico,11,5,3,"barrio_paraje, section, sub_barrio","02, 04, 05, 06, 10"
el palmar,El Palmar,11,5,3,"barrio_paraje, section, sub_barrio","02, 03, 06, 08, 10"
las lagunas,las lagunas,11,5,3,"barrio_paraje, section, sub_barrio","02, 03, 05, 07, 09"
los cocos,Los Cocos,11,5,2,"barrio_paraje, sub_barrio","02, 03, 04, 06, 09"
centro de la ciudad,centro de la ciudad,11,5,2,"barrio_paraje, sub_barrio","02, 04, 06, 07, 09"
guayabal,Guayabal,11,4,5,"barrio_paraje, district_municipal, municipality, section, sub_barrio","02, 05, 07, 10"
enriquillo,Enriquillo,11,4,4,"barrio_paraje, district_municipal, municipality, sub_barrio","01, 02, 03, 04"
el cerro,El cerro,11,4,2,"barrio_paraje, sub_barrio","01, 03, 04, 10"
la cu,La Cu,11,3,3,"barrio_paraje, section, sub_barrio","02, 03, 04"
el higuero,El Higüero,10,6,2,"barrio_paraje, section","02, 03, 04, 06, 09, 10"
